
                                     BLAS-     Corresponding     RMD-time /                  
                                  subroutine  RMD-subroutine      BLAS-time                  
Operation  nspread  thr      n   same spread     same spread    same spread   number of calls
dgemv        27272    1     20    720   1467      662   1489      1.8   2.0   2833120,1419647,1561766,833333
dgemv        27272    4     20    682   1482      670   1490      2.0   2.0   3051704,1294872,1542036,833333
dgemv        27272   16     20    682   1475      665   1492      1.9   2.0   3047285,1275253,1567203,833333
dgemm        10000    1     20    307    490      282    429      1.8   1.8   331386,277778,184649,166667
dgemm        10000    4     20    301    497      288    434      1.9   1.7   346449,208333,180864,166667
dgemm        10000   16     20    303    500      292    438      1.9   1.8   342637,277778,177776,166667
dsyrk        14981    1     20    502    892      484    638      1.9   1.4   411189,277778,213253,208333
dsyrk        14981    4     20    489    885     1169   1141      4.8   2.6   426948,277778,90400,92593
dsyrk        14981   16     20    489    697     1719   1440      7.0   4.1   421553,277778,57424,69444
dtrsm        10000    1     20    396    667      638    780      3.2   2.3   523952,416667,148294,166667
dtrsm        10000    4     20    395    681      642    795      3.3   2.3   526806,416667,162052,138889
dtrsm        10000   16     20    395    678      643    794      3.3   2.3   526536,416667,162121,138889
dgemv          297    1    200    297    944      411   1096      2.8   2.3   70195,69444,25318,26042
dgemv          297    4    200    504    823      275    798      1.1   1.9   38142,43860,37795,28736
dgemv          297   16    200    535    978      794   1172      3.0   2.4   38056,39683,13114,12077
dgemm          100    1    200    109    116      105    111      1.9   1.9   946,985,469,501
dgemm          100    4    200     35     42       35     39      2.0   1.8   2681,3169,1497,1518
dgemm          100   16    200     23     30       25     26      2.2   1.8   4529,4762,2205,1947
dsyrk          149    1    200    148    153      119    124      1.6   1.6   1394,1478,875,880
dsyrk          149    4    200     41     51       56     59      2.7   2.3   4708,5241,1860,1864
dsyrk          149   16    200     35     38       55     58      3.2   3.1   5930,5952,1828,1907
dtrsm          100    1    200    123    132      227    236      3.7   3.6   1679,1766,436,460
dtrsm          100    4    200     50     61      158    167      6.3   5.5   4127,4105,636,660
dtrsm          100   16    200     45     53      196    206      8.6   7.9   4447,4604,498,527
dgemv            2    1   2000    620    623      899    904      2.9   2.9   335,343,116,112
dgemv            2    4   2000    102    364      622    664     12.2   3.6   1843,2120,182,167
dgemv            2   16   2000     38    400      642    736     33.7   3.7   5181,5556,163,163
dgemm            1    1   2000     97     97      119     97      2.4   2.0   1,1,1,1
dgemm            1    4   2000     26     26       26     26      2.0   2.0   4,4,2,2
dgemm            1   16   2000     10     10       10     10      2.0   2.0   10,11,5,5
dsyrk            1    1   2000    107    107      104    104      1.9   1.9   2,2,1,1
dsyrk            1    4   2000     30     28       31     31      2.1   2.2   7,7,4,4
dsyrk            1   16   2000     10      9       14     14      3.0   3.0   22,22,7,7
dtrsm            1    1   2000    107    107      437    437      8.2   8.2   2,2,1,1
dtrsm            1    4   2000     33     31       62     61      3.7   3.9   6,7,2,2
dtrsm            1   16   2000     20     18       25     25      2.6   2.8   11,11,4,4
The table shows run time in picoseconds/BLAS-flop (flop is one * and one +)
Memory: 183.1 MB. Total time: 148.4 sec.
